"drug","concentration_um","type","value","lower","upper"
"Emodepside",0.0078,"narrow-sense (h2)",0,-0.0425462951899948,0.0425462951899948
"Emodepside",0.0156,"broad-sense (H2)",0.259957012954722,0.192354610897867,0.691285198506489
"Emodepside",0.0156,"narrow-sense (h2)",0.14514972695933,0.0211804724467543,0.269118981471906
"Emodepside",0.0312,"broad-sense (H2)",0.787431736780156,0.765188092596303,0.905800575089167
"Emodepside",0.0312,"narrow-sense (h2)",0.689762230947712,0.536992027899405,0.84253243399602
"Emodepside",0.0625,"broad-sense (H2)",0.918023261291955,0.909909733333417,0.973459007355005
"Emodepside",0.0625,"narrow-sense (h2)",0.870313823069655,0.792259793592416,0.948367852546894
"Emodepside",0.125,"broad-sense (H2)",0.989731202035652,0.987843988982953,0.996150404281462
"Emodepside",0.125,"narrow-sense (h2)",0.982925159730712,0.971421414568426,0.994428904892997
"Emodepside",0.25,"broad-sense (H2)",0.995810470118391,0.995234549722368,0.998437222262582
"Emodepside",0.25,"narrow-sense (h2)",0.9931224622475,0.98841706787197,0.997827856623031
"Emodepside",0.5,"broad-sense (H2)",0.998654924276654,0.998434382474135,0.999701604415048
"Emodepside",0.5,"narrow-sense (h2)",0.997682724450515,0.996069340412315,0.999296108488714
"Emodepside",1,"broad-sense (H2)",0.993131757457617,0.991647868664971,0.997521542822875
"Emodepside",1,"narrow-sense (h2)",0.988037144032052,0.979810041484566,0.996264246579537
"Closantel",0,"broad-sense (H2)",2.27284598945739e-29,0,0.463614334770348
"Closantel",0,"narrow-sense (h2)",0,-0.0444082012111721,0.0444082012111721
"Closantel",0.097,"broad-sense (H2)",0.329359596051871,0.284496147498048,0.713333781373195
"Closantel",0.097,"narrow-sense (h2)",0.137203425418807,0.016757733835879,0.257649117001734
"Closantel",0.195,"broad-sense (H2)",0.442482023424626,0.376218020246342,0.83262727684106
"Closantel",0.195,"narrow-sense (h2)",0.213236215737239,0.0634225451165137,0.363049886357965
"Closantel",0.39,"broad-sense (H2)",0.330091226451901,0.196695252718683,0.774235742388529
"Closantel",0.39,"narrow-sense (h2)",0.155689928819514,0.0230591149061798,0.288320742732848
"Closantel",0.78,"broad-sense (H2)",0.466968664218584,0.390832148842532,0.740673781373829
"Closantel",0.78,"narrow-sense (h2)",0.279225845832501,0.112833170667007,0.445618520997995
"Closantel",1.56,"broad-sense (H2)",0.454472870066665,0.345767279988558,0.843563365914793
"Closantel",1.56,"narrow-sense (h2)",0.211159987778116,0.0632414912143616,0.35907848434187
"Closantel",3.125,"broad-sense (H2)",0.690086362061081,0.62851409923998,0.900314851503831
"Closantel",3.125,"narrow-sense (h2)",0.424070059439803,0.237462347945069,0.610677770934537
"Closantel",6.25,"broad-sense (H2)",0.967282859841868,0.965358703768195,0.982438364446464
"Closantel",6.25,"narrow-sense (h2)",0.913285259016233,0.858761629993702,0.967808888038764
"Closantel",12.5,"broad-sense (H2)",0.976579588446074,0.971546805542576,0.990641091910061
"Closantel",12.5,"narrow-sense (h2)",0.948593221013955,0.915049981793085,0.982136460234824
"Closantel",25,"broad-sense (H2)",0.976799202639496,0.97187502403513,0.993727966448167
"Closantel",25,"narrow-sense (h2)",0.953471501574604,0.922889038551743,0.984053964597465
"Closantel",50,"broad-sense (H2)",0.977698018496015,0.967710461956842,0.996012408798322
"Closantel",50,"narrow-sense (h2)",0.9530562911977,0.922118367908896,0.983994214486505
"Closantel",100,"broad-sense (H2)",0.981054501998718,0.977956695411645,0.993930971397643
"Closantel",100,"narrow-sense (h2)",0.960047257011304,0.933462271830657,0.98663224219195
