"drug","type","value","EC_level","EC_value","upper","lower","concentration_um","diff_from_EC"
"Closantel","h2",0.424070059439803,"EC10",4.0985452243307,0.610677770934537,0.237462347945069,3.125,0.973545224330704
"Closantel","h2",0.953471501574604,"EC50",22.0500261459038,0.984053964597465,0.922889038551743,25,2.94997385409619
"Closantel","h2",0.94429856340824,"EC90",127.299816858327,0.984792808307097,0.903804318509384,100,27.2998168583267
"Closantel","H2",0.690086362061081,"EC10",4.0985452243307,0.925225774634182,0.615911980986971,3.125,0.973545224330704
"Closantel","H2",0.976799202639496,"EC50",22.0500261459038,0.994055300636291,0.972550240598174,25,2.94997385409619
"Closantel","H2",0.975763425050736,"EC90",127.299816858327,0.991210321838021,0.971926173570591,100,27.2998168583267
"Emodepside","h2",0.982925159730712,"EC10",0.107499109542315,0.994428904892997,0.971421414568426,0.125,0.0175008904576849
"Emodepside","h2",0.99578151937562,"EC50",0.475762029423317,1.00026914213862,0.991293896612621,0.5,0.024237970576683
"Emodepside","h2",0.987752517608153,"EC90",2.26124273675315,0.997096013733565,0.97840902148274,1,1.26124273675315
"Emodepside","H2",0.989731202035652,"EC10",0.107499109542315,0.997456770337487,0.987974197125793,0.125,0.0175008904576849
"Emodepside","H2",0.998302563290133,"EC50",0.475762029423317,0.999502151900606,0.998120302431525,0.5,0.024237970576683
"Emodepside","H2",0.993590476661745,"EC90",2.26124273675315,0.997652808885886,0.991997824095538,1,1.26124273675315
