Metadata_Plate,Metadata_Well,assay_type,food_conc_OD,food_type,diluent,diluent_concentration_perc,drug,concentration_um,drug_stock_prep_date,drug_prep_method,strain,bleach,well_censor,well_censor_reason
p026,F07,48h,10,15hHB101,DMSO,1,Levamisole,4.375,,,ED3102,1,,
p026,A08,48h,10,15hHB101,DMSO,1,Levamisole,8.75,,,ECA2666,1,,
p026,B08,48h,10,15hHB101,DMSO,1,Levamisole,8.75,,,JU3237,1,,
p026,C08,48h,10,15hHB101,DMSO,1,Levamisole,8.75,,,VX34,1,,
p026,D08,48h,10,15hHB101,DMSO,1,Levamisole,8.75,,,NIC1667,1,,
p026,E08,48h,10,15hHB101,DMSO,1,Levamisole,8.75,,,PB420,1,,
p026,F08,48h,10,15hHB101,DMSO,1,Levamisole,8.75,,,ED3102,1,,
p026,A09,48h,10,15hHB101,DMSO,1,Levamisole,17.5,,,ECA2666,1,,
p026,B09,48h,10,15hHB101,DMSO,1,Levamisole,17.5,,,JU3237,1,,
p026,C09,48h,10,15hHB101,DMSO,1,Levamisole,17.5,,,VX34,1,,
p026,D09,48h,10,15hHB101,DMSO,1,Levamisole,17.5,,,NIC1667,1,,
p026,E09,48h,10,15hHB101,DMSO,1,Levamisole,17.5,,,PB420,1,,
p026,F09,48h,10,15hHB101,DMSO,1,Levamisole,17.5,,,ED3102,1,,
p026,A10,48h,10,15hHB101,DMSO,1,Levamisole,35,,,ECA2666,1,,
p026,B10,48h,10,15hHB101,DMSO,1,Levamisole,35,,,JU3237,1,,
p026,C10,48h,10,15hHB101,DMSO,1,Levamisole,35,,,VX34,1,,
p026,D10,48h,10,15hHB101,DMSO,1,Levamisole,35,,,NIC1667,1,,
p026,E10,48h,10,15hHB101,DMSO,1,Levamisole,35,,,PB420,1,,
p026,F10,48h,10,15hHB101,DMSO,1,Levamisole,35,,,ED3102,1,,
p026,A11,48h,10,15hHB101,DMSO,1,Levamisole,70,,,ECA2666,1,,
p026,B11,48h,10,15hHB101,DMSO,1,Levamisole,70,,,JU3237,1,,
p026,C11,48h,10,15hHB101,DMSO,1,Levamisole,70,,,VX34,1,,
p026,D11,48h,10,15hHB101,DMSO,1,Levamisole,70,,,NIC1667,1,,
p026,E11,48h,10,15hHB101,DMSO,1,Levamisole,70,,,PB420,1,,
p026,F11,48h,10,15hHB101,DMSO,1,Levamisole,70,,,ED3102,1,,
p026,A12,48h,10,15hHB101,DMSO,1,Levamisole,140,,,ECA2666,1,,
p026,B12,48h,10,15hHB101,DMSO,1,Levamisole,140,,,JU3237,1,,
p026,C12,48h,10,15hHB101,DMSO,1,Levamisole,140,,,VX34,1,,
p026,D12,48h,10,15hHB101,DMSO,1,Levamisole,140,,,NIC1667,1,,
p026,E12,48h,10,15hHB101,DMSO,1,Levamisole,140,,,PB420,1,,
p026,F12,48h,10,15hHB101,DMSO,1,Levamisole,140,,,ED3102,1,,
p027,A01,48h,10,15hHB101,DMSO,1,Levamisole,0,,,ECA2666,1,,
p027,B01,48h,10,15hHB101,DMSO,1,Levamisole,0,,,JU3237,1,,
p027,C01,48h,10,15hHB101,DMSO,1,Levamisole,0,,,VX34,1,,
p027,D01,48h,10,15hHB101,DMSO,1,Levamisole,0,,,NIC1667,1,,
p027,E01,48h,10,15hHB101,DMSO,1,Levamisole,0,,,PB420,1,,
p027,F01,48h,10,15hHB101,DMSO,1,Levamisole,0,,,ED3102,1,,
p027,A02,48h,10,15hHB101,DMSO,1,Levamisole,0.136,,,ECA2666,1,,
p027,B02,48h,10,15hHB101,DMSO,1,Levamisole,0.136,,,JU3237,1,,
p027,C02,48h,10,15hHB101,DMSO,1,Levamisole,0.136,,,VX34,1,,
p027,D02,48h,10,15hHB101,DMSO,1,Levamisole,0.136,,,NIC1667,1,,
p027,E02,48h,10,15hHB101,DMSO,1,Levamisole,0.136,,,PB420,1,,
p027,F02,48h,10,15hHB101,DMSO,1,Levamisole,0.136,,,ED3102,1,,
p027,A03,48h,10,15hHB101,DMSO,1,Levamisole,0.273,,,ECA2666,1,,
p027,B03,48h,10,15hHB101,DMSO,1,Levamisole,0.273,,,JU3237,1,,
p027,C03,48h,10,15hHB101,DMSO,1,Levamisole,0.273,,,VX34,1,,
p027,D03,48h,10,15hHB101,DMSO,1,Levamisole,0.273,,,NIC1667,1,,
p027,E03,48h,10,15hHB101,DMSO,1,Levamisole,0.273,,,PB420,1,,
p027,F03,48h,10,15hHB101,DMSO,1,Levamisole,0.273,,,ED3102,1,,
p027,A04,48h,10,15hHB101,DMSO,1,Levamisole,0.546,,,ECA2666,1,,
p027,B04,48h,10,15hHB101,DMSO,1,Levamisole,0.546,,,JU3237,1,,
p027,C04,48h,10,15hHB101,DMSO,1,Levamisole,0.546,,,VX34,1,,
p027,D04,48h,10,15hHB101,DMSO,1,Levamisole,0.546,,,NIC1667,1,,
p027,E04,48h,10,15hHB101,DMSO,1,Levamisole,0.546,,,PB420,1,,
p027,F04,48h,10,15hHB101,DMSO,1,Levamisole,0.546,,,ED3102,1,,
p027,A05,48h,10,15hHB101,DMSO,1,Levamisole,1.09,,,ECA2666,1,,
p027,B05,48h,10,15hHB101,DMSO,1,Levamisole,1.09,,,JU3237,1,,
p027,C05,48h,10,15hHB101,DMSO,1,Levamisole,1.09,,,VX34,1,,
p027,D05,48h,10,15hHB101,DMSO,1,Levamisole,1.09,,,NIC1667,1,,
p027,E05,48h,10,15hHB101,DMSO,1,Levamisole,1.09,,,PB420,1,,
p027,F05,48h,10,15hHB101,DMSO,1,Levamisole,1.09,,,ED3102,1,,
p027,A06,48h,10,15hHB101,DMSO,1,Levamisole,2.1875,,,ECA2666,1,,
p027,B06,48h,10,15hHB101,DMSO,1,Levamisole,2.1875,,,JU3237,1,,
p027,C06,48h,10,15hHB101,DMSO,1,Levamisole,2.1875,,,VX34,1,,
p027,D06,48h,10,15hHB101,DMSO,1,Levamisole,2.1875,,,NIC1667,1,,
p027,E06,48h,10,15hHB101,DMSO,1,Levamisole,2.1875,,,PB420,1,,
p027,F06,48h,10,15hHB101,DMSO,1,Levamisole,2.1875,,,ED3102,1,,
