Metadata_Plate,Metadata_Well,assay_type,food_conc_OD,food_type,diluent,diluent_concentration_perc,drug,concentration_um,drug_stock_prep_date,drug_prep_method,strain,bleach,well_censor,well_censor_reason,notes
p033,B07,48h,10,15hHB101,DMSO,1,Closantel,3.125,,,JU3237,1,,,
p033,C07,48h,10,15hHB101,DMSO,1,Closantel,3.125,,,VX34,1,,,
p033,D07,48h,10,15hHB101,DMSO,1,Closantel,3.125,,,NIC1667,1,,,
p033,E07,48h,10,15hHB101,DMSO,1,Closantel,3.125,,,PB420,1,,,
p033,F07,48h,10,15hHB101,DMSO,1,Closantel,3.125,,,ED3102,1,,,
p033,A08,48h,10,15hHB101,DMSO,1,Closantel,6.25,,,ECA2666,1,,,
p033,B08,48h,10,15hHB101,DMSO,1,Closantel,6.25,,,JU3237,1,,,
p033,C08,48h,10,15hHB101,DMSO,1,Closantel,6.25,,,VX34,1,,,
p033,D08,48h,10,15hHB101,DMSO,1,Closantel,6.25,,,NIC1667,1,,,
p033,E08,48h,10,15hHB101,DMSO,1,Closantel,6.25,,,PB420,1,,,
p033,F08,48h,10,15hHB101,DMSO,1,Closantel,6.25,,,ED3102,1,,,
p033,A09,48h,10,15hHB101,DMSO,1,Closantel,12.5,,,ECA2666,1,,,
p033,B09,48h,10,15hHB101,DMSO,1,Closantel,12.5,,,JU3237,1,,,
p033,C09,48h,10,15hHB101,DMSO,1,Closantel,12.5,,,VX34,1,,,
p033,D09,48h,10,15hHB101,DMSO,1,Closantel,12.5,,,NIC1667,1,,,
p033,E09,48h,10,15hHB101,DMSO,1,Closantel,12.5,,,PB420,1,,,
p033,F09,48h,10,15hHB101,DMSO,1,Closantel,12.5,,,ED3102,1,,,
p033,A10,48h,10,15hHB101,DMSO,1,Closantel,25,,,ECA2666,1,,,
p033,B10,48h,10,15hHB101,DMSO,1,Closantel,25,,,JU3237,1,,,
p033,C10,48h,10,15hHB101,DMSO,1,Closantel,25,,,VX34,1,,,
p033,D10,48h,10,15hHB101,DMSO,1,Closantel,25,,,NIC1667,1,,,
p033,E10,48h,10,15hHB101,DMSO,1,Closantel,25,,,PB420,1,,,
p033,F10,48h,10,15hHB101,DMSO,1,Closantel,25,,,ED3102,1,,,
p033,A11,48h,10,15hHB101,DMSO,1,Closantel,50,,,ECA2666,1,,,
p033,B11,48h,10,15hHB101,DMSO,1,Closantel,50,,,JU3237,1,,,
p033,C11,48h,10,15hHB101,DMSO,1,Closantel,50,,,VX34,1,,,
p033,D11,48h,10,15hHB101,DMSO,1,Closantel,50,,,NIC1667,1,,,
p033,E11,48h,10,15hHB101,DMSO,1,Closantel,50,,,PB420,1,,,
p033,F11,48h,10,15hHB101,DMSO,1,Closantel,50,,,ED3102,1,,,
p033,A12,48h,10,15hHB101,DMSO,1,Closantel,100,,,ECA2666,1,,,
p033,B12,48h,10,15hHB101,DMSO,1,Closantel,100,,,JU3237,1,,,
p033,C12,48h,10,15hHB101,DMSO,1,Closantel,100,,,VX34,1,,,
p033,D12,48h,10,15hHB101,DMSO,1,Closantel,100,,,NIC1667,1,,,
p033,E12,48h,10,15hHB101,DMSO,1,Closantel,100,,,PB420,1,,,
p033,F12,48h,10,15hHB101,DMSO,1,Closantel,100,,,ED3102,1,,,
p034,A01,48h,10,15hHB101,DMSO,1,Closantel,0,,,ECA2666,1,,,
p034,B01,48h,10,15hHB101,DMSO,1,Closantel,0,,,JU3237,1,,,
p034,C01,48h,10,15hHB101,DMSO,1,Closantel,0,,,VX34,1,,,
p034,D01,48h,10,15hHB101,DMSO,1,Closantel,0,,,NIC1667,1,,,
p034,E01,48h,10,15hHB101,DMSO,1,Closantel,0,,,PB420,1,,,
p034,F01,48h,10,15hHB101,DMSO,1,Closantel,0,,,ED3102,1,,,
p034,A02,48h,10,15hHB101,DMSO,1,Closantel,0.097,,,ECA2666,1,,,
p034,B02,48h,10,15hHB101,DMSO,1,Closantel,0.097,,,JU3237,1,,,
p034,C02,48h,10,15hHB101,DMSO,1,Closantel,0.097,,,VX34,1,,,
p034,D02,48h,10,15hHB101,DMSO,1,Closantel,0.097,,,NIC1667,1,,,
p034,E02,48h,10,15hHB101,DMSO,1,Closantel,0.097,,,PB420,1,,,
p034,F02,48h,10,15hHB101,DMSO,1,Closantel,0.097,,,ED3102,1,,,
